"Year","Ceremony","Category","Nominee","Film","Winner"
"2022","Critics Choice","Best Song","Carolina - Written and Performed byTaylor Swift","Where the Crawdads Sing","Nominee"
"2022","Critics Choice","Best Song","Ciao Papa - Written byAlexandre Desplat, Roeban Katz &Guillermo del Toro; Performed by Gregory Mann","Guillermo del Toros Pinocchio","Nominee"
"2022","Critics Choice","Best Song","Hold My Hand - Written byLady Gaga&BloodPop; Performed by Gaga","Top Gun: Maverick","Nominee"
"2022","Critics Choice","Best Song","Lift Me Up - Written byLudwig Göransson,Rihanna,Ryan Coogler&Tems; Performed by Rihanna","Black Panther: Wakanda Forever","Nominee"
"2022","Critics Choice","Best Song","New Body Rhumba - Written by Pat Mahoney,James Murphy& Nancy Whang; Performed byLCD Soundsystem","White Noise","Nominee"
"2022","Golden Globes","Best Original Score","Justin Hurwitz","Babylon","Yes"
"2022","Golden Globes","Best Original Score","Carter Burwell","The Banshees of Inisherin","Nominee"
"2022","Golden Globes","Best Original Score","John Williams","The Fabelmans","Nominee"
"2022","Golden Globes","Best Original Score","Alexandre Desplat","Guillermo del Toros Pinocchio","Nominee"
"2022","Golden Globes","Best Original Score","Hildur Guðnadóttir","Women Talking","Nominee"
"2022","Golden Globes","Best Original Song","Naatu Naatu - M. M. Keeravani&Chandrabose","RRR","Yes"
"2022","Golden Globes","Best Original Song","Lift Me Up - Rihanna,Ludwig Göransson,Ryan Coogler&Tems","Black Panther: Wakanda Forever","Nominee"
"2022","Golden Globes","Best Original Song","Ciao Papa - Alexandre Desplat, Roeban Katz &Guillermo del Toro","Guillermo del Toros Pinocchio","Nominee"
"2022","Golden Globes","Best Original Song","Hold My Hand - Lady Gaga&Michael Tucker","Top Gun: Maverick","Nominee"
"2022","Golden Globes","Best Original Song","Carolina - Taylor Swift","Where the Crawdads Sing","Nominee"
"2022","Oscars","Best Original Score","Volker Bertelmann","All Quiet on the Western Front","Yes"
"2022","Oscars","Best Original Score","Justin Hurwitz","Babylon","Nominee"
"2022","Oscars","Best Original Score","Carter Burwell","The Banshees of Inisherin","Nominee"
"2022","Oscars","Best Original Score","Son Lux","Everything Everywhere All at Once","Nominee"
"2022","Oscars","Best Original Score","John Williams","The Fabelmans","Nominee"
"2022","Oscars","Best Original Song","Naatu Naatu - M. M. Keeravani(music);Chandrabose(lyrics)","RRR","Yes"
"2022","Oscars","Best Original Song","Lift Me Up - Ryan Coogler,Ludwig Göransson,Rihanna&Tems(music); Coogler & Tems(lyrics)","Black Panther: Wakanda Forever","Nominee"
"2022","Oscars","Best Original Song","This Is a Life - David Byrne,Ryan Lott&Mitski(music); Byrne & Lott(lyrics)","Everything Everywhere All at Once","Nominee"
"2022","Oscars","Best Original Song","Applause - Diane Warren(music & lyrics)","Tell It Like a Woman","Nominee"
