film_vote_count,film_popularity,film_budget,film_revenue,film_rating,days_since_film_release,film_runtime_min,film_is_action,film_is_adventure,film_is_animation,film_is_comedy,film_is_crime,film_is_documentary,film_is_drama,film_is_family,film_is_fantasy,film_is_history,film_is_horror,film_is_music,film_is_mystery,film_is_romance,film_is_science_fiction,film_is_tv_movie,film_is_thriller,film_is_war,film_is_western,days_since_album_release,n_tracks,composer_album_count,ambient_experimental,classical_orchestral,electronic,hip_hop_rnb,pop,rock,world_folk,us_score_nominee_count,us_song_nominee_count,bafta_nominee,log_lfm_album_listeners
1347,4.6541,0,238524,6.516,1661,91,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,17.0,12,0,0,0,0,0,0,0,0,0,0,0.6931471805599453
6019,4.6387,200000000,220889446,7.312,1648,127,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,,27.0,17,0,0,0,0,0,0,0,0,0,0,7.353081920515432
1450,4.5694,0,0,6.336,1611,112,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,1611.0,20.0,8,0,0,0,0,0,0,0,0,0,0,0.6931471805599453
844,4.3911,20400000,13457801,5.646,1641,117,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1646.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0.6931471805599453
2710,4.0947,30000000,29942746,6.332,1829,128,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1848.0,25.0,13,0,0,0,0,0,0,0,0,0,0,4.653960350157523
3238,3.9721,60000000,39629195,7.0,1521,151,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1520.0,20.0,4,0,0,0,0,0,0,0,1,0,0,1.6094379124341005
4757,3.9642,18000000,90146510,6.323,1655,108,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,,25.0,3,0,0,0,0,0,0,0,0,0,0,1.3862943611198906
2205,3.9175,20000000,40618920,5.9,1725,93,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,,26.0,2,0,0,0,0,0,0,0,0,0,0,5.568344503761097
791,3.8715,0,3700000,7.306,1529,104,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,1527.0,22.0,10,0,0,0,0,0,0,0,0,0,0,1.6094379124341005
3212,3.7595,75000000,0,7.86,1745,110,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1737.0,32.0,13,0,0,0,0,0,0,0,0,0,0,3.8501476017100575
4158,3.692,150000000,163692228,6.658,1668,115,False,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,,19.0,5,0,0,0,0,0,0,0,0,0,0,0.6931471805599453
2485,3.3412,70000000,70060492,6.663,1692,117,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1695.0,18.0,5,0,0,0,0,0,0,0,0,0,0,1.6094379124341005
536,3.2059,0,0,6.799,1814,95,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1506.0,15.0,30,0,0,0,0,0,0,0,0,0,0,1.3862943611198906
830,3.197,0,63501160,7.666,1660,121,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,1646.0,30.0,2,0,0,0,0,0,0,0,0,0,0,3.80666248977032
2839,3.1055,20000000,133423964,6.424,1570,105,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,1569.0,20.0,3,0,0,1,0,0,0,0,0,0,0,2.772588722239781
771,3.0589,0,0,7.647,1520,92,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1513.0,8.0,9,0,0,0,0,0,0,0,0,0,0,0.0
2746,3.0512,15000000,53785551,7.015,1633,98,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,,18.0,8,0,0,0,0,0,0,0,0,0,0,0.6931471805599453
3229,2.9969,5000000,39458207,7.181,1828,108,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1807.0,9.0,2,0,1,0,0,0,0,0,0,0,1,9.0902045707362
2533,2.8892,40000000,34891791,6.756,1613,111,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,1611.0,23.0,13,0,0,0,0,0,0,0,0,0,0,7.821643126239982
2197,2.7272,15000000,65774490,6.513,1675,88,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,,20.0,2,0,0,0,0,0,0,0,0,0,0,1.9459101490553128
1429,2.6609,1300000,15356046,7.4,1627,179,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,10.0,1,1,0,0,0,0,0,0,0,0,0,6.873163834212518
1960,2.6429,0,0,7.419,1529,112,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,14.0,1,1,0,0,0,0,0,0,0,0,0,2.70805020110221
1703,2.543,25000000,77411570,6.002,1620,91,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,,34.0,1,0,0,0,0,0,0,0,0,0,0,3.5263605246161616
1094,2.4742,33000000,16510734,5.952,1598,104,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,,23.0,5,0,0,0,0,0,0,0,0,0,0,1.0986122886681098
2239,2.3034,0,0,7.608,1542,120,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,,,1,0,0,0,0,0,0,0,0,0,0,4.7535901911063645
579,2.3031,0,438825,5.912,1520,92,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,,14.0,30,0,0,0,0,0,0,0,0,0,0,2.302585092994046
651,2.1804,0,1451974,7.336,1653,110,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,,20.0,7,0,0,0,0,0,0,0,0,0,0,1.3862943611198906
846,2.0688,0,176248,6.939,1518,105,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,11.0,16,0,0,0,0,0,0,0,0,0,0,1.6094379124341005
1611,1.9457,6600000,4982335,6.33,1662,108,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,,18.0,3,0,0,0,0,0,0,0,0,0,0,2.772588722239781
1067,1.9444,5000000,703281,6.463,1508,122,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,12.0,4,0,0,0,0,0,0,0,0,0,0,0.0
1496,1.6102,0,0,6.603,1725,100,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,,15.0,2,0,0,0,0,0,0,0,0,0,0,6.542471960506805
680,1.4534,0,0,6.5,1513,132,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,1520.0,31.0,25,0,0,0,0,0,0,0,0,0,0,1.6094379124341005
661,1.2211,0,2404127,6.464,1597,126,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,,22.0,18,0,0,0,0,0,0,0,0,0,0,1.0986122886681098
623,1.2081,0,0,6.933,1492,130,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,,25.0,2,0,0,0,0,0,0,0,0,0,0,1.3862943611198906
742,0.9785,8300000,4300000,7.2,1534,109,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1541.0,9.0,3,0,0,0,0,0,0,0,0,0,0,1.6094379124341005
941,0.7688,12000000,3279079,7.267,1556,141,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,,1.0,2,0,0,0,0,0,0,0,0,0,0,1.6094379124341005
10493,18.4305,170000000,1488732821,8.159,1351,131,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1345.0,12.0,1,0,1,1,0,1,1,0,0,3,1,4.762173934797756
