artist_id,artist_mbid,name,sort_name,artist_type,gender,artist_comment,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,area_name,area_mbid,begin_area_name,begin_area_mbid,end_area_name,end_area_mbid,aliases_text,artist_tags_text,isni_text,ipi_text,film_ct_in_spine,soundtrack_release_group_ct_in_spine,electronic_producer,jazz_traditional,media_composer_orchestral,pop_vocalist,rock_artist_band,world_folk_regional,award_year,oscar_score_nominee,oscar_score_winner,oscar_song_nominee,oscar_song_winner,globes_score_nominee,globes_score_winner,globes_song_nominee,globes_song_winner,critics_score_nominee,critics_score_winner,critics_song_nominee,critics_song_winner,bafta_score_nominee,bafta_score_winner
674767,197f9793-e2d7-4dd5-ba1e-be428aa1dd10,Aleksi Aubry-Carlson,"Aubry-Carlson, Aleksi",Person,,,,,,,,,,,,,,,,,,,1,1,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1320533,77fe1efe-f681-447e-b9a6-e34c52b77fd0,Nivas K Prasanna,"Prasanna, Nivas K",Person,Male,,,,,,,,Chennai,a03385a0-da43-41f9-bbfc-741b949c2e0c,,,,,,,,,2,2,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1251409,fba2f102-273a-482c-856e-e0da59cbdd60,Vivek Siva,"Siva, Vivek",Person,Male,,,,,,,,Chennai,a03385a0-da43-41f9-bbfc-741b949c2e0c,,,,,,,,,1,1,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2451496,4563795d-d3d7-4ab2-a560-4227e920e010,Vivek Sagar,Vivek Sagar,Person,Male,,1983.0,1.0,1.0,,,,India,d31a9a15-537f-3669-ad53-25753ddd2772,India,d31a9a15-537f-3669-ad53-25753ddd2772,,,,,,,3,3,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
819355,f58e17e6-3c99-4a17-969e-fcbb9ee2720e,Keaton Henson,"Henson, Keaton",Person,Male,,1988.0,3.0,24.0,,,,United Kingdom,8a754a16-0027-3a29-b6d7-2b40ea0481ed,London,f03d09b3-39dc-4083-afd6-159e3f0d462f,,,,folk rock | classical | alternative rock | indie folk,,,1,1,False,False,False,False,True,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1731160,a8e37141-1644-4eab-9311-dcf535fc4286,Chandan Saxena,Chandan Saxena,Person,Male,,1993.0,11.0,8.0,,,,Mumbai,e24de96f-81de-4021-8af3-1b656b6b1e42,New Delhi,9af246bd-4c4e-49fe-93a2-b6a08cf600ac,,,,film composer | bollywood | indian music composer | movie | music director | music producer,,,1,1,False,False,True,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3130343,8a2e5a90-77b9-43d9-9b7e-320d20df099f,Andreas Dominguez,"Dominguez, Andreas",Person,,,,,,,,,,,,,,,,,,,1,1,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2576886,028c0e1f-201c-4335-b794-5201c5cfe104,Sparks & Shadows,Sparks & Shadows,Group,,,,,,,,,,,,,,,,,,,1,1,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
357929,18380171-d61e-4e34-a7e2-a666d0395e9c,Tuomas Wäinölä,"Wäinölä, Tuomas",Person,Male,,1976.0,12.0,29.0,,,,Finland,6a264f94-6ff1-30b1-9a81-41f7bfabd616,Kauniainen,3984b239-bd29-448a-89de-362d8be8e3c3,,,,,,,1,1,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1067563,053f8db3-64f1-4297-900e-659fe0925d69,A Shell in the Pit,"Shell in the Pit, A",Person,Male,video game composer & arranger,,,,,,,Vancouver,6ccc62d1-bdd8-4f08-8fae-bfaa5310e5ef,,,,,,canada | vgm | video game music,,,1,2,False,False,True,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
